INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT
16256275,mddelkumarbarve,pod23,2500,,,,,70,,0
16662079,spring1678223177,pod20,2500,,,,,34,,0
10013535,thdoccresolutions,pod13,2500,,,,,4,,0
13094706,medlineotcmcqa,pod27,2500,,,,,15,,0
888863,monday,pod18,2500,300,30,30,30,1095,77,1
10254759,silaexpert,pod18,2500,,,,30,65,,0
9390984,takeaway,pod17,5000,2000,30,45,30,534,10,75
17525391,beesid1685714867,pod13,2500,,,,30,80,,0
15484836,caresharedservices1668012686,pod27,2500,,,,,1,,0
10722122,mireppuri,pod27,2500,,,30,,306,,0
10448300,pdi-3cl3ctdemo,pod15,2500,,,,,1,,0
19889113,inrepdistrict75-r,pod27,2500,,,,,240,,0
26521310,storis1779404543,pod20,2500,,,,,21,,0
2263847,movilepay,pod13,2500,300,30,,30,300,6,0
26259781,con-concentrix,pod18,2500,,,,,2,,0
9289867,storis,pod20,2500,,,,,2,,0
10618748,mirephall,pod23,2500,,,30,,350,,0
20195317,pahousedemsdistrict53,pod20,2500,,,,,89,,0
15547253,pasendisanto,pod27,2500,,,,,84,,0
10404715,betmgm,pod20,5000,1000,30,30,30,1066,187,0
20994163,etsylegal1716565073,pod20,2500,,,,,7,,0
11039281,letsdeel,pod17,2500,300,30,30,30,2046,213,0
17208991,8x87974,pod13,2500,,,,,0,,1
15740243,mnsenbahr,pod27,2500,,,,,79,,0
26306524,frasersgroupit,pod31,2500,300,30,,30,283,2,0
10618778,mirepsteckloff,pod23,2500,,,30,,190,,0
21745757,chime1722532447,pod23,10000,2000,30,,,300,4,0
14155078,californiagovernor,pod13,2500,300,30,30,,912,24,0
10113050,sheinpro,pod15,2500,100,30,30,10,237,3,0
16256292,mddelnicolewilliams,pod20,2500,,,,,74,,0
25158261,acertus,pod20,2500,100,30,30,10,251,11,0
10485486,repspartz,pod20,2500,,,,,363,,0
9925800,rustoleumsupport,pod13,2500,300,30,,,4,5,0
15765704,mirepdievendorf,pod27,2500,,,30,,183,,0
10614793,feverpartners,pod18,2500,300,30,30,,4,1,0
24213553,drfirsthelp1739189827,pod19,2500,,,,,2,,0
16244815,chicagoaldermanknudsen,pod13,2500,,,,30,158,,0
931193,aeriscom,pod23,2500,,,,,54,,0
18561409,cyerahelp,pod23,2500,,,,30,112,,0
24281613,rytbankhelp,pod25,2500,300,30,,,17,17,0
13783157,mnsenpratt,pod27,2500,,,,,100,,0
25390773,casasbahia,pod20,2500,300,30,,,26,21,0
22927847,con-dun-poc,pod31,2500,,,,,1,,0
314047,thdidm,pod20,2500,300,30,,30,52,4,0
16256329,mddelchristopheradams,pod13,2500,,,,,72,,0
10835898,siestasupport,pod19,2500,,,,,28,,0
19889102,inrepdistrict71-d,pod19,2500,,,,,402,,0
1497081,bancsabadell,pod18,2500,,,,,98,,0
17103338,nc-rep-diamond-statonwilliams,pod13,2500,,,,,204,,0
21341080,stellartechlimited,pod17,2500,300,30,30,30,299,32,0
26226766,entryllc,pod18,2500,300,30,30,,484,267,0
10292179,repadriansmith,pod23,2500,,,,,945,,0
13961505,con-treesdemo,pod25,2500,,,,,3,,0
21321137,ryze,pod20,5000,300,30,30,50,2049,58,0
19888867,insendemo,pod20,2500,,,,,336,,0
17103379,nc-rep-jeffrey-elmore,pod27,2500,,,,,204,,0
10883370,suporteicatuseguros,pod19,2500,300,30,,,173,12,0
16672164,con-zerviz-cx,pod20,2500,300,30,,,2,1,0
16256246,mddelharrybhandari,pod23,2500,,,,,70,,0
15770654,mirepmentzer,pod23,2500,,,30,,182,,0
24313881,contreesdemo1740041320,pod25,2500,100,30,,,6,2,0
21046025,ab-inbevgh,pod27,2500,,,,30,10,,0
9628547,repcloud,pod20,2500,300,30,30,,377,5,0
10816463,abinbevdr1617817948,pod23,5000,,,,30,200,,0
17103536,nc-sen-lisa-barnes,pod13,2500,,,30,,206,,0
11340143,gridx-support,pod18,2500,,,,,8,,0
1857661,tescocolleaguehelp,pod28,2500,300,30,,,179,1,0
13781320,mnsenmayequade,pod20,2500,,,,,812,,0
21482028,myboostbank1720503161,pod15,2500,100,30,,,10,1,0
2088644,stockpoint5969,pod25,2500,,,,,1,,0
10420638,abbotthr,pod13,2500,300,30,,,51,53,0
10485519,repgarbarino,pod20,2500,300,30,30,,478,2,0
16661739,pasendemo1678220259,pod23,2500,,,,,56,,0
23336953,repmikekennedy,pod27,2500,300,30,30,,414,1,0
13608890,tmo-commissions,pod27,2500,,,,,3,,0
10618747,mirepgreen,pod20,2500,,,30,,300,,0
19889150,inrepdistrict89-d,pod20,2500,,,,,263,,0
11623139,medlinesalescontracting,pod27,2500,300,30,30,,2,4,0
10592959,mirepgarza,pod19,2500,,,60,,140,,0
9387151,pdi-newwave,pod25,2500,,,,,9,,0
