concern_level,plan_tier,num_accounts,max_global_api,max_ticket_threshold,max_per_ticket,max_bulk_jobs,max_incremental
HIGH,Enterprise (HVAPI),67,25000,24000,80,100,50
HIGH,Enterprise (no HVAPI),25,5000,6000,150,60,45
HIGH,Professional,6,4000,7000,50,60,
MEDIUM,Enterprise (no HVAPI),53,2500,300,30,30,30
MEDIUM,Professional,15,2500,300,30,30,30
MEDIUM,Unknown,11,2500,,,,30
NORMAL,Enterprise (HVAPI),2842,2500,300,30,30,30
NORMAL,Enterprise (no HVAPI),3,1400,,,30,10
