INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT,has_hvapi,support_plan,CONTRACT_RENEWAL_DATE,is_sandbox,plan_tier,concern_level
1949293,disneyparks,pod23,700,2000,30,30,,22,34,0,0,Enterprise,2028-03-15,0,Enterprise (no HVAPI),HIGH
10467,yougov,pod29,700,2000,30,,10,394,28,0,0,Enterprise,2027-02-28,0,Enterprise (no HVAPI),HIGH
512712,zillow,pod19,700,2000,30,30,10,344,1,0,0,Enterprise,2027-06-30,0,Enterprise (no HVAPI),HIGH
88181,box,pod19,700,2000,30,,,643,22,0,0,Enterprise,2027-07-29,0,Enterprise (no HVAPI),HIGH
11290,upwork,pod19,700,1500,30,30,10,438,198,33,0,Enterprise,2027-03-18,0,Enterprise (no HVAPI),HIGH
354269,amaysimaustralia,pod15,700,100,30,60,10,57,3,0,0,Enterprise,2028-09-20,0,Enterprise (no HVAPI),HIGH
9974045,intapp,pod29,700,100,30,50,10,217,7,0,0,Enterprise,2026-09-30,0,Enterprise (no HVAPI),HIGH
106787,sai360,pod20,700,100,30,50,,12,1,0,0,Enterprise,2027-01-27,0,Enterprise (no HVAPI),HIGH
2075283,pureenrichment,pod27,700,100,30,50,10,107,16,0,0,Enterprise,2027-05-28,0,Enterprise (no HVAPI),HIGH
551876,tamarac,pod27,700,100,30,60,,29,26,0,0,Enterprise,2027-08-15,0,Enterprise (no HVAPI),HIGH
1423738,uslegalsupportwest,pod13,700,100,30,50,,167,133,0,0,Enterprise,2026-10-31,0,Enterprise (no HVAPI),HIGH
477665,ssensesupport,pod19,700,100,30,30,45,57,8,0,0,Enterprise,2027-03-21,0,Enterprise (no HVAPI),HIGH
71544,travelnet,pod27,700,100,30,50,,3,2,0,0,Enterprise,2028-09-30,0,Enterprise (no HVAPI),HIGH
15158276,everbridgesupport,pod27,700,100,150,50,10,147,5,0,0,Enterprise,2035-01-31,0,Enterprise (no HVAPI),HIGH
10225190,pandarg,pod19,700,,,50,10,27,,0,0,Enterprise,2026-09-30,0,Enterprise (no HVAPI),HIGH
9567440,copaair,pod23,700,,30,50,,40,,0,0,Enterprise,2028-12-20,0,Enterprise (no HVAPI),HIGH
323991,civitatis,pod29,400,7000,30,30,,400,9,102,0,Professional,2028-03-24,0,Professional,HIGH
454327,mecenat1,pod17,400,1500,30,,,9,4,0,0,Professional,2026-08-09,0,Professional,HIGH
9496080,parquearauco,pod20,400,800,30,,,1,1,0,0,Professional,2026-12-02,0,Professional,HIGH
1376322,permissions,pod23,400,100,50,,,7,1,0,0,Professional,2027-03-31,0,Professional,HIGH
971806,yodaforex,pod18,400,100,30,60,,400,2,107,0,Professional,2026-09-30,0,Professional,HIGH
26705161,freelance-26992,pod25,400,20,80,30,,25,1,0,0,Unknown,,0,Unknown,HIGH
24136733,acciona-aunz-bsa,pod19,400,,80,,,1,,0,0,Professional,2026-12-05,0,Professional,HIGH
16397189,pacificdebt,pod23,400,,80,,,1,,0,0,Professional,2029-04-30,0,Professional,HIGH
