concern_level,plan_tier,num_accounts,max_global_api,max_ticket_threshold,max_per_ticket,max_bulk_jobs,max_incremental
HIGH,Enterprise (HVAPI),66,25000,24000,60,100,50
HIGH,Enterprise (no HVAPI),29,5000,6000,150,60,45
HIGH,Professional,8,4000,7000,80,60,
HIGH,Unknown,1,400,20,80,30,
MEDIUM,Enterprise (no HVAPI),54,2500,300,30,30,30
MEDIUM,Professional,15,2500,300,30,30,30
MEDIUM,Unknown,11,2500,,,,30
NORMAL,Enterprise (HVAPI),2848,2500,300,30,30,30
NORMAL,Enterprise (no HVAPI),3,1400,,,30,
